Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,China,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Pakistan,Russia,Spain,Singapore,UK,US,Sweden,Mexico
2016.0,6.0,231.40098490517613,220.86233315580014,206.1476593017578,294.4795227050781,276.6689147949219,197.35418701171875,131.4570154,444.34197998046875,454.00543212890625,111.16724044578343,144.26609802246094,218.826146407666,197.1590576171875,202.33842085009775,274.8091195154009,56.76778282875445,249.32167053222656,138.75936889648438,221.24847804187488,799.9341430664062,233.95611572265625,136.1197603,52.31668484018083
2016.0,7.0,204.78128542088467,189.03332279678318,328.67584228515625,326.6337890625,260.1251220703125,178.99996948242188,112.3994755,410.0074157714844,331.6681823730469,139.11299290050223,78.06611633300781,227.616698620079,129.44781494140625,202.86410866396832,214.10752530544514,74.93436191149293,97.64324951171875,117.95142364501953,198.40821872323545,1141.7955322265625,164.45838928222656,112.2347552,34.59252140957218
2016.0,8.0,135.6851901444574,136.52293706387516,62.00627899169922,251.6847381591797,237.58102416992188,97.73861694335938,116.325771,178.7202911376953,223.12734985351562,98.17246834311435,41.014217376708984,235.696270839538,102.52936553955078,115.47160035128984,101.31164066020544,47.89493317630257,313.0686950683594,110.99262237548828,126.24249065283102,458.6845397949219,106.88562774658203,91.21630737,27.210355630073792
2016.0,9.0,136.84547874401932,139.16231812801496,88.08694458007812,250.02455139160156,164.4557647705078,91.47058868408203,147.5645526,291.6730041503906,219.077392578125,104.63629266371518,32.88368606567383,185.9314938764,140.2138214111328,114.55215215524412,123.54898354481283,40.50279046532056,237.50038146972656,107.32561492919922,139.84060342962073,378.9745178222656,86.3435287475586,103.7796425,47.65531638908002
2016.0,10.0,126.94637674855304,122.41145303991097,49.835445404052734,149.36624145507812,243.58091735839844,91.06073760986328,106.809263,256.6236267089844,148.26052856445312,99.54699016405863,38.68679428100586,111.383458606649,132.1904754638672,91.17699383326236,122.17124734354232,70.3802936963923,113.41355895996094,107.81566619873047,121.34111849820063,545.1150512695312,108.06412506103516,100.4713782,47.58549766356053
2016.0,11.0,229.82022596501565,215.20031347155745,174.29798889160156,365.7530822753906,442.3714294433594,209.7425079345703,133.0970927,448.5950927734375,322.2203369140625,117.1264800233336,72.80564880371094,263.579227080215,180.27574157714844,138.72195883609854,387.97082185732955,80.81270229245058,233.34312438964844,108.3741226196289,219.29799985887513,816.2022094726562,254.101318359375,126.0715626,89.25954907951622
2016.0,12.0,186.08800578367303,186.7729169531476,166.67958068847656,422.5247802734375,298.57464599609375,161.1177215576172,130.5673617,408.2675476074219,246.81427001953125,155.93981268912725,117.88623809814453,262.973404952909,159.45263671875,140.8139084684894,375.90697449077265,51.02601179516531,323.7820739746094,115.9175033569336,191.17178762078254,468.021240234375,161.42477416992188,88.91453478,108.77404465597604
2017.0,1.0,249.4837075473338,255.42226394331243,138.90890502929688,330.928466796875,338.15545654296875,158.48245239257812,306.037496,462.9656066894531,335.6415100097656,134.5876787740653,84.12655639648438,162.541603520329,112.9060287475586,143.1726348880837,391.798399614048,65.31913869020755,400.0167541503906,108.23075103759766,275.8454969727438,539.224609375,195.04063415527344,134.3558552,161.46822549445062
2017.0,2.0,187.1032928315184,189.75558084888868,77.74121856689453,371.6051330566406,257.4891357421875,145.8275146484375,176.3995805,379.42596435546875,170.4004364013672,136.87836450583197,137.4004364013672,81.9288649323118,114.100341796875,125.65351925693318,299.67484698430616,55.269594422710156,227.8781280517578,106.89262390136719,194.38084784215863,445.97406005859375,177.7777099609375,131.4163628,99.24703755369127
2017.0,3.0,239.1878721432928,250.24312859266627,90.88209533691406,676.9550170898438,262.14935302734375,129.244140625,349.0531329,521.5641479492188,222.12301635742188,147.39787176265708,65.6751937866211,148.200530916792,98.55571746826172,123.72235241967543,220.40216245574052,63.29592033141658,291.4149475097656,100.3365249633789,262.747209190578,418.6566162109375,154.60968017578125,90.07738094,69.89384801077814
2017.0,4.0,178.23111752982874,177.869298691183,82.15448760986328,550.1685791015625,199.6622314453125,115.46674346923828,174.1927712,574.6331787109375,204.8388214111328,106.67183881993982,81.3338394165039,241.274615293661,61.85898208618164,102.65793020291895,165.39695140893426,62.86386071411661,143.63006591796875,89.54013061523438,177.42118774117762,335.475830078125,157.67654418945312,94.5500365681551,48.14061572551249
2017.0,5.0,145.512403915791,142.73368040790734,66.11273193359375,407.8592529296875,262.1275634765625,94.1533203125,130.7553519,288.26043701171875,151.38441467285156,89.99797498314005,39.26336669921875,225.16691402538,62.90182876586914,101.35597621082852,118.96201597212556,83.71380310889488,139.03436279296875,104.64061737060547,137.69419117380838,470.2643127441406,129.8880615234375,96.3601986302197,61.229022870037056
2017.0,6.0,173.71892359304385,175.60601807063787,72.20374298095703,230.9700164794922,206.44093322753906,99.34968566894531,227.6597283,308.5653076171875,192.2242889404297,101.79160895147753,59.06988525390625,197.80535393963,99.64901733398438,85.80286929601093,118.95075936465865,37.51863517046753,107.03202819824219,108.39498138427734,184.03447794740745,709.7437133789062,120.63846588134766,80.924213646773,42.05119538825183
2017.0,7.0,167.6048615571174,172.37902722802704,95.78465270996094,267.19940185546875,233.18309020996094,111.62386322021484,228.2414925,176.46954345703125,142.7123565673828,70.2253119254391,62.02988052368164,237.853557315616,74.03366088867188,75.34431568383383,97.31102291515812,108.00034288728746,181.0517578125,101.37307739257812,175.36766994698985,466.4747314453125,141.13832092285156,116.464470027202,23.745011828265863
2017.0,8.0,141.67123050155007,141.83861671080984,50.78049850463867,309.6709289550781,241.76702880859375,96.54446411132812,164.6848328,164.05328369140625,104.73080444335938,86.47625565349057,37.68947219848633,83.0009809382619,31.701534271240234,78.11241194866614,90.0342941920303,94.35353782989745,149.64942932128906,66.64569854736328,139.74787867165261,441.479248046875,137.85971069335938,82.7571187522891,52.71893553451954
2017.0,9.0,159.68989765733457,163.5386274069365,64.2312240600586,326.51495361328125,277.7945556640625,96.22010040283203,206.3844492,256.47821044921875,164.52679443359375,93.51073385237449,78.03064727783203,196.706638772404,91.1942367553711,89.08432140891595,102.08993532568371,66.26802518386533,101.00840759277344,94.9796371459961,166.93816234931947,457.8815612792969,116.6200180053711,105.009272746394,27.02212216413927
2017.0,10.0,145.65026167385273,149.87426585880743,75.12644958496094,190.5667266845703,221.3157501220703,110.98107147216797,142.533602,227.00538635253906,142.697509765625,85.44595698263616,83.3947525024414,154.5327354196,66.27056884765625,94.16194600614155,120.31855309605211,161.3143409270815,274.8133850097656,177.32598876953125,141.4079429714161,485.8477783203125,125.86585235595703,99.2295505681544,67.03946593367142
