Country / Territory,ISO3,Region,CPI score 2025,Rank 2025,Sources 2025,Standard error 2025,CPI score 2024,Rank 2024,Sources 2024,Standard error 2024,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Croatia,HRV,WE/EU,47,63,9,1.83,47.0,63.0,9.0,1.87,50.0,57.0,9.0,1.25,50.0,57.0,9.0,0.93,47.0,63.0,10.0,1.56,47.0,63.0,10.0,1.48,47.0,63.0,10.0,2.42,48.0,60.0,10.0,2.77,49.0,57.0,10.0,2.64,49.0,9.0,2.39,51.0,9.0,2.02,48.0,9.0,3.25,48.0,9.0,3.3,46.0,8.0,3.1
Cuba,CUB,AME,40,84,5,2.62,41.0,82.0,5.0,3.09,42.0,76.0,5.0,3.46,45.0,65.0,5.0,2.87,46.0,64.0,5.0,3.07,47.0,63.0,5.0,2.81,48.0,60.0,5.0,1.87,47.0,61.0,5.0,2.56,47.0,62.0,5.0,2.36,47.0,5.0,2.9,47.0,4.0,3.64,46.0,4.0,4.46,46.0,4.0,4.5,48.0,4.0,4.1
Cyprus,CYP,WE/EU,55,49,6,2.24,56.0,46.0,7.0,2.48,53.0,49.0,8.0,2.21,52.0,51.0,8.0,2.46,53.0,52.0,8.0,2.59,57.0,42.0,7.0,3.19,58.0,41.0,7.0,3.41,59.0,38.0,7.0,3.54,57.0,42.0,7.0,3.78,55.0,5.0,5.94,61.0,5.0,4.17,63.0,5.0,3.92,63.0,5.0,3.9,66.0,4.0,2.4
Czechia,CZE,WE/EU,59,39,10,0.87,56.0,46.0,10.0,1.39,57.0,41.0,10.0,1.26,56.0,41.0,10.0,1.08,54.0,49.0,10.0,1.28,54.0,49.0,10.0,1.1,56.0,44.0,10.0,1.87,59.0,38.0,10.0,2.28,57.0,42.0,10.0,1.98,55.0,9.0,2.24,56.0,9.0,2.21,51.0,9.0,2.94,48.0,10.0,3.0,49.0,10.0,2.9
Democratic Republic of the Congo,COD,SSA,20,163,9,1.21,20.0,163.0,8.0,1.63,20.0,162.0,9.0,1.08,20.0,166.0,9.0,0.99,19.0,169.0,9.0,1.0,18.0,170.0,9.0,0.75,18.0,168.0,9.0,1.43,20.0,161.0,8.0,2.13,21.0,161.0,8.0,1.96,21.0,7.0,2.13,22.0,6.0,3.35,22.0,5.0,4.19,22.0,5.0,4.2,21.0,5.0,3.3
Denmark,DNK,WE/EU,89,1,8,1.88,90.0,1.0,8.0,1.98,90.0,1.0,8.0,1.82,90.0,1.0,8.0,1.71,88.0,1.0,8.0,1.85,88.0,1.0,8.0,1.78,87.0,1.0,8.0,2.54,88.0,1.0,8.0,2.63,88.0,2.0,8.0,2.75,90.0,7.0,2.46,91.0,7.0,2.16,92.0,7.0,2.04,91.0,7.0,2.2,90.0,7.0,2.0
Djibouti,DJI,SSA,31,124,5,1.95,31.0,127.0,5.0,1.98,30.0,130.0,5.0,1.71,30.0,130.0,5.0,1.74,30.0,128.0,5.0,1.68,27.0,142.0,5.0,1.53,30.0,126.0,5.0,4.28,31.0,124.0,4.0,5.38,31.0,122.0,4.0,5.32,30.0,3.0,8.23,34.0,3.0,9.07,34.0,3.0,9.1,36.0,3.0,8.6,36.0,3.0,8.6
Dominica,DMA,AME,60,37,3,1.75,60.0,36.0,3.0,1.74,56.0,42.0,3.0,1.91,55.0,45.0,3.0,1.9,55.0,45.0,3.0,1.98,55.0,48.0,3.0,1.98,55.0,48.0,3.0,2.16,57.0,45.0,3.0,2.55,57.0,42.0,3.0,2.55,59.0,3.0,0.85,,,,58.0,3.0,2.34,58.0,3.0,2.3,58.0,3.0,2.3
Dominican Republic,DOM,AME,37,99,7,2.93,36.0,104.0,7.0,2.33,35.0,108.0,7.0,1.62,32.0,123.0,7.0,1.31,30.0,128.0,7.0,1.16,28.0,137.0,7.0,1.91,28.0,137.0,7.0,2.7,30.0,129.0,7.0,2.57,29.0,135.0,7.0,2.56,31.0,6.0,1.89,33.0,6.0,2.63,32.0,6.0,3.3,29.0,6.0,3.5,32.0,6.0,2.7
Ecuador,ECU,AME,33,116,7,1.87,32.0,121.0,7.0,2.34,34.0,115.0,7.0,1.48,36.0,101.0,7.0,1.07,36.0,105.0,7.0,1.58,39.0,92.0,7.0,1.73,38.0,93.0,7.0,2.19,34.0,114.0,7.0,3.46,32.0,117.0,7.0,2.66,31.0,6.0,1.96,32.0,6.0,2.86,33.0,5.0,3.56,35.0,6.0,3.6,32.0,6.0,2.9
Egypt,EGY,MENA,30,130,8,3.27,30.0,130.0,8.0,3.62,35.0,108.0,7.0,3.75,30.0,130.0,6.0,1.78,33.0,117.0,7.0,4.09,33.0,117.0,7.0,3.68,35.0,106.0,7.0,4.86,35.0,105.0,7.0,4.59,32.0,117.0,7.0,4.04,34.0,6.0,2.72,36.0,6.0,2.47,37.0,6.0,2.91,32.0,7.0,3.1,32.0,7.0,3.1
El Salvador,SLV,AME,32,120,7,1.48,30.0,130.0,7.0,1.01,31.0,126.0,7.0,1.26,33.0,116.0,7.0,1.91,34.0,115.0,7.0,1.59,36.0,104.0,7.0,1.38,34.0,113.0,7.0,2.56,35.0,105.0,7.0,2.59,33.0,112.0,7.0,3.25,36.0,7.0,2.76,39.0,6.0,2.26,39.0,6.0,1.98,38.0,6.0,2.0,38.0,6.0,2.8
Equatorial Guinea,GNQ,SSA,15,172,5,2.46,13.0,173.0,5.0,2.54,17.0,172.0,4.0,2.57,17.0,171.0,4.0,2.55,17.0,172.0,4.0,2.55,16.0,174.0,4.0,2.6,16.0,173.0,4.0,3.0,16.0,172.0,3.0,2.82,17.0,171.0,3.0,3.56,,,,,,,,,,19.0,3.0,2.2,20.0,3.0,1.3
Eritrea,ERI,SSA,13,177,5,5.35,13.0,173.0,5.0,5.51,21.0,161.0,5.0,4.73,22.0,162.0,5.0,4.78,22.0,161.0,5.0,4.99,21.0,160.0,5.0,4.58,23.0,160.0,5.0,6.66,24.0,157.0,5.0,8.24,20.0,165.0,5.0,5.74,18.0,5.0,6.24,18.0,4.0,8.15,18.0,4.0,7.91,20.0,4.0,11.0,25.0,4.0,9.2
Estonia,EST,WE/EU,76,12,10,1.07,76.0,13.0,10.0,1.09,76.0,12.0,10.0,1.06,74.0,14.0,10.0,1.01,74.0,13.0,10.0,0.92,75.0,17.0,10.0,0.87,74.0,18.0,10.0,1.21,73.0,18.0,10.0,1.44,71.0,21.0,10.0,2.21,70.0,10.0,2.16,70.0,9.0,2.79,69.0,9.0,2.89,68.0,9.0,2.7,64.0,8.0,3.0
Eswatini,SWZ,SSA,23,153,5,4.66,27.0,135.0,4.0,3.5,30.0,130.0,3.0,5.9,30.0,130.0,3.0,5.9,32.0,122.0,3.0,7.12,33.0,117.0,4.0,4.93,34.0,113.0,4.0,6.08,38.0,89.0,3.0,4.48,39.0,85.0,3.0,5.81,,,,,,,43.0,3.0,2.98,39.0,4.0,1.8,37.0,4.0,2.1
Ethiopia,ETH,SSA,38,96,8,1.36,37.0,99.0,8.0,1.38,37.0,98.0,8.0,1.2,38.0,94.0,8.0,1.31,39.0,87.0,8.0,1.21,38.0,94.0,9.0,1.0,37.0,96.0,9.0,1.52,34.0,114.0,8.0,1.52,35.0,107.0,9.0,1.36,34.0,9.0,1.37,33.0,8.0,2.73,33.0,8.0,2.54,33.0,8.0,2.5,33.0,8.0,1.6
Fiji,FJI,AP,55,49,3,2.02,55.0,50.0,3.0,2.03,52.0,53.0,3.0,4.15,53.0,49.0,3.0,4.32,55.0,45.0,3.0,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
