Country / Territory,ISO3,Region,CPI score 2025,Rank 2025,Sources 2025,Standard error 2025,CPI score 2024,Rank 2024,Sources 2024,Standard error 2024,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Guinea,GIN,SSA,26,142,7,1.6,28.0,133.0,7.0,1.13,26.0,141.0,7.0,1.69,25.0,147.0,7.0,1.6,25.0,150.0,8.0,1.27,28.0,137.0,8.0,1.88,29.0,130.0,8.0,2.5,28.0,138.0,6.0,2.67,27.0,148.0,7.0,2.37,27.0,5.0,2.54,25.0,6.0,3.16,25.0,7.0,3.21,24.0,7.0,3.6,24.0,7.0,2.7
Guinea Bissau,GNB,SSA,21,161,6,4.3,21.0,158.0,6.0,4.3,22.0,158.0,6.0,2.93,21.0,164.0,6.0,2.67,21.0,162.0,6.0,2.69,19.0,165.0,6.0,2.71,18.0,168.0,6.0,2.91,16.0,172.0,5.0,1.97,17.0,171.0,5.0,1.7,16.0,4.0,2.09,17.0,4.0,2.63,19.0,4.0,2.37,19.0,4.0,2.4,25.0,4.0,2.1
Guyana,GUY,AME,40,84,5,1.8,39.0,92.0,5.0,1.58,40.0,87.0,5.0,2.31,40.0,85.0,5.0,2.18,39.0,87.0,5.0,2.13,41.0,83.0,5.0,3.54,40.0,85.0,5.0,3.34,37.0,93.0,5.0,0.77,38.0,91.0,5.0,1.84,34.0,6.0,3.57,29.0,4.0,3.01,30.0,4.0,3.03,27.0,4.0,2.9,28.0,4.0,2.1
Haiti,HTI,AME,16,169,6,2.17,16.0,168.0,6.0,2.13,17.0,172.0,6.0,1.32,17.0,171.0,6.0,1.34,20.0,164.0,6.0,0.74,18.0,170.0,6.0,2.47,18.0,168.0,6.0,3.23,20.0,161.0,6.0,2.47,22.0,157.0,6.0,2.05,20.0,5.0,1.81,17.0,5.0,2.74,19.0,5.0,2.86,19.0,5.0,3.1,19.0,5.0,2.8
Honduras,HND,AME,22,157,8,0.87,22.0,154.0,8.0,1.02,23.0,154.0,8.0,0.53,23.0,157.0,8.0,0.5,23.0,157.0,8.0,0.85,24.0,157.0,7.0,1.52,26.0,146.0,7.0,3.25,29.0,132.0,8.0,2.42,29.0,135.0,8.0,2.32,30.0,7.0,3.05,31.0,7.0,4.12,29.0,6.0,3.49,26.0,6.0,2.5,28.0,6.0,2.4
Hong Kong,HKG,AP,76,12,8,2.42,74.0,17.0,7.0,2.62,75.0,14.0,8.0,2.18,76.0,12.0,8.0,1.61,76.0,12.0,8.0,1.85,77.0,11.0,8.0,1.79,76.0,16.0,8.0,3.15,76.0,14.0,8.0,2.47,77.0,13.0,7.0,2.37,77.0,7.0,2.62,75.0,7.0,2.48,74.0,7.0,2.75,75.0,8.0,2.4,77.0,8.0,1.9
Hungary,HUN,WE/EU,40,84,10,0.87,41.0,82.0,10.0,0.89,42.0,76.0,10.0,1.3,42.0,77.0,10.0,1.46,43.0,73.0,10.0,1.3,44.0,69.0,10.0,1.27,44.0,70.0,10.0,2.58,46.0,64.0,10.0,2.79,45.0,66.0,10.0,2.89,48.0,9.0,2.89,51.0,9.0,3.73,54.0,9.0,3.45,54.0,10.0,3.6,55.0,10.0,3.5
Iceland,ISL,WE/EU,77,10,5,3.96,77.0,10.0,6.0,2.6,72.0,19.0,7.0,3.54,74.0,14.0,7.0,3.83,74.0,13.0,7.0,3.7,75.0,17.0,7.0,3.86,78.0,11.0,7.0,4.63,76.0,14.0,7.0,4.33,77.0,13.0,7.0,4.38,78.0,6.0,3.81,79.0,5.0,4.53,79.0,6.0,3.16,78.0,6.0,2.8,82.0,6.0,4.1
India,IND,AP,39,91,9,1.45,38.0,96.0,9.0,1.32,39.0,93.0,9.0,1.26,40.0,85.0,9.0,1.18,40.0,85.0,9.0,1.17,40.0,86.0,9.0,1.14,41.0,80.0,9.0,1.6,41.0,78.0,9.0,2.42,40.0,81.0,9.0,2.16,40.0,8.0,2.47,38.0,8.0,3.14,38.0,9.0,2.27,36.0,10.0,2.2,36.0,10.0,2.1
Indonesia,IDN,AP,34,109,9,2.34,37.0,99.0,9.0,2.16,34.0,115.0,8.0,1.8,34.0,110.0,8.0,1.78,38.0,96.0,9.0,2.14,37.0,102.0,9.0,1.71,40.0,85.0,9.0,3.76,38.0,89.0,9.0,3.35,37.0,96.0,9.0,3.12,37.0,8.0,2.39,36.0,8.0,3.39,34.0,8.0,3.57,32.0,9.0,3.5,32.0,9.0,2.9
Iran,IRN,MENA,23,153,7,2.02,23.0,151.0,7.0,2.22,24.0,149.0,6.0,2.63,25.0,147.0,7.0,2.32,25.0,150.0,7.0,2.29,25.0,149.0,7.0,2.56,26.0,146.0,7.0,3.63,28.0,138.0,7.0,2.89,30.0,130.0,7.0,3.51,29.0,7.0,2.47,27.0,6.0,3.28,27.0,6.0,4.72,25.0,6.0,3.9,28.0,6.0,4.6
Iraq,IRQ,MENA,28,136,6,5.21,26.0,140.0,6.0,4.44,23.0,154.0,5.0,4.14,23.0,157.0,5.0,3.98,23.0,157.0,5.0,4.02,21.0,160.0,5.0,2.52,20.0,162.0,5.0,2.98,18.0,168.0,5.0,2.63,18.0,169.0,5.0,2.47,17.0,5.0,1.87,16.0,4.0,2.5,16.0,4.0,2.37,16.0,4.0,2.4,18.0,4.0,2.3
Ireland,IRL,WE/EU,76,12,8,1.28,77.0,10.0,8.0,1.55,77.0,11.0,8.0,1.17,77.0,10.0,8.0,0.79,74.0,13.0,8.0,0.68,72.0,20.0,7.0,2.15,74.0,18.0,7.0,3.61,73.0,18.0,7.0,3.25,74.0,19.0,7.0,3.68,73.0,6.0,4.31,75.0,6.0,4.92,74.0,6.0,4.75,72.0,6.0,4.2,69.0,6.0,3.5
Israel,ISR,MENA,62,35,5,2.6,64.0,30.0,7.0,2.9,62.0,33.0,6.0,2.45,63.0,31.0,7.0,2.05,59.0,36.0,7.0,2.05,60.0,35.0,7.0,1.34,60.0,35.0,7.0,1.99,61.0,34.0,7.0,1.49,62.0,32.0,7.0,2.19,64.0,6.0,2.27,61.0,6.0,2.78,60.0,6.0,2.34,61.0,6.0,1.6,60.0,5.0,2.9
Italy,ITA,WE/EU,53,52,8,1.75,54.0,52.0,8.0,1.67,56.0,42.0,8.0,1.66,56.0,41.0,8.0,1.71,56.0,42.0,8.0,1.46,53.0,52.0,8.0,2.11,53.0,51.0,8.0,3.22,52.0,53.0,8.0,3.29,50.0,54.0,8.0,3.72,47.0,7.0,3.34,44.0,7.0,2.5,43.0,7.0,2.26,43.0,7.0,2.5,42.0,7.0,2.4
Jamaica,JAM,AME,44,73,6,3.61,44.0,73.0,7.0,2.78,44.0,69.0,7.0,3.06,44.0,69.0,6.0,3.66,44.0,70.0,6.0,3.66,44.0,69.0,7.0,3.34,43.0,74.0,7.0,3.58,44.0,70.0,7.0,3.37,44.0,68.0,7.0,3.96,39.0,6.0,1.84,41.0,6.0,1.68,38.0,6.0,1.8,38.0,6.0,1.8,38.0,6.0,2.2
Japan,JPN,AP,71,18,9,2.49,71.0,20.0,9.0,2.58,73.0,16.0,9.0,1.75,73.0,18.0,9.0,1.86,73.0,18.0,9.0,2.1,74.0,19.0,9.0,2.02,73.0,20.0,9.0,3.51,73.0,18.0,9.0,2.85,73.0,20.0,9.0,2.66,72.0,8.0,3.02,75.0,8.0,2.96,76.0,8.0,3.16,74.0,9.0,2.4,74.0,9.0,2.3
Jordan,JOR,MENA,50,56,8,3.24,49.0,59.0,8.0,3.48,46.0,63.0,7.0,2.87,47.0,61.0,8.0,2.38,49.0,58.0,8.0,2.65,49.0,60.0,8.0,2.2,48.0,60.0,8.0,3.29,49.0,58.0,8.0,3.21,48.0,59.0,8.0,2.99,48.0,8.0,3.03,53.0,7.0,3.0,49.0,7.0,2.87,45.0,7.0,2.4,48.0,7.0,3.1
Kazakhstan,KAZ,ECA,38,96,9,3.53,40.0,88.0,9.0,3.11,39.0,93.0,9.0,3.2,36.0,101.0,9.0,3.29,37.0,102.0,9.0,3.33,38.0,94.0,9.0,3.12,34.0,113.0,9.0,4.18,31.0,124.0,9.0,3.6,31.0,122.0,9.0,3.59,29.0,9.0,3.35,28.0,8.0,4.9,29.0,8.0,4.4,26.0,8.0,3.3,28.0,8.0,4.1
Kenya,KEN,SSA,30,130,10,1.73,32.0,121.0,9.0,2.08,31.0,126.0,9.0,1.54,32.0,123.0,9.0,1.5,30.0,128.0,9.0,1.32,31.0,124.0,9.0,1.49,28.0,137.0,9.0,2.17,27.0,144.0,9.0,1.82,28.0,143.0,9.0,1.94,26.0,9.0,1.72,25.0,8.0,3.02,25.0,8.0,2.98,27.0,8.0,2.7,27.0,8.0,2.2
"Korea, North",PRK,AP,15,172,4,4.13,15.0,170.0,4.0,4.12,17.0,172.0,4.0,3.78,17.0,171.0,4.0,3.78,16.0,174.0,4.0,2.57,18.0,170.0,4.0,3.46,17.0,172.0,4.0,3.16,14.0,176.0,4.0,1.39,17.0,171.0,4.0,4.18,12.0,3.0,1.39,8.0,3.0,3.38,8.0,3.0,3.35,8.0,3.0,3.4,8.0,3.0,3.4
"Korea, South",KOR,AP,63,31,9,1.52,64.0,30.0,9.0,1.0,63.0,32.0,10.0,1.25,63.0,31.0,10.0,1.03,62.0,32.0,10.0,1.13,61.0,33.0,10.0,1.11,59.0,39.0,10.0,2.44,57.0,45.0,10.0,2.74,54.0,51.0,10.0,2.24,53.0,9.0,2.33,54.0,9.0,2.29,55.0,9.0,2.64,55.0,10.0,2.4,56.0,10.0,2.4
Kosovo,KSV,ECA,43,76,7,2.23,44.0,73.0,6.0,2.47,41.0,83.0,6.0,2.36,41.0,84.0,6.0,2.58,39.0,87.0,6.0,2.31,36.0,104.0,6.0,0.68,36.0,101.0,5.0,0.81,37.0,93.0,5.0,1.49,39.0,85.0,5.0,2.13,36.0,5.0,3.17,33.0,3.0,2.19,33.0,3.0,2.33,33.0,3.0,2.3,34.0,3.0,1.5
Kuwait,KWT,MENA,46,65,8,2.09,46.0,65.0,8.0,1.65,46.0,63.0,8.0,1.66,42.0,77.0,6.0,1.74,43.0,73.0,6.0,2.0,42.0,78.0,6.0,1.88,40.0,85.0,6.0,1.88,41.0,78.0,6.0,3.47,39.0,85.0,6.0,2.47,41.0,5.0,2.67,49.0,5.0,4.51,44.0,5.0,5.24,43.0,5.0,3.9,44.0,5.0,3.9
Kyrgyzstan,KGZ,ECA,26,142,7,2.09,25.0,146.0,7.0,1.61,26.0,141.0,7.0,1.69,27.0,140.0,7.0,1.32,27.0,144.0,7.0,1.16,31.0,124.0,7.0,1.28,30.0,126.0,7.0,2.54,29.0,132.0,7.0,2.37,29.0,135.0,7.0,2.59,28.0,7.0,2.08,28.0,6.0,2.29,27.0,6.0,2.35,24.0,6.0,2.3,24.0,6.0,1.8
Laos,LAO,AP,34,109,5,5.12,33.0,114.0,5.0,5.06,28.0,136.0,4.0,2.44,31.0,126.0,5.0,3.7,30.0,128.0,5.0,3.21,29.0,134.0,5.0,3.95,29.0,130.0,5.0,5.0,29.0,132.0,5.0,5.7,29.0,135.0,5.0,5.89,30.0,4.0,6.19,25.0,4.0,5.31,25.0,4.0,3.8,26.0,4.0,5.0,21.0,3.0,1.3
Latvia,LVA,WE/EU,60,37,10,2.11,59.0,38.0,10.0,2.09,60.0,36.0,9.0,1.76,59.0,39.0,10.0,1.36,59.0,36.0,10.0,1.32,57.0,42.0,9.0,1.92,56.0,44.0,9.0,3.53,58.0,41.0,9.0,2.95,58.0,40.0,9.0,3.21,57.0,9.0,2.96,56.0,8.0,2.76,55.0,8.0,3.35,53.0,8.0,3.6,49.0,6.0,4.0
Lebanon,LBN,MENA,23,153,6,1.69,22.0,154.0,6.0,1.08,24.0,149.0,6.0,1.12,24.0,150.0,7.0,0.82,24.0,154.0,7.0,0.77,25.0,149.0,7.0,1.15,28.0,137.0,7.0,2.27,28.0,138.0,7.0,2.28,28.0,143.0,7.0,2.11,28.0,7.0,2.5,28.0,6.0,3.22,27.0,6.0,3.37,28.0,6.0,3.3,30.0,6.0,2.3
Lesotho,LSO,SSA,37,99,6,4.31,37.0,99.0,6.0,4.13,39.0,93.0,5.0,4.65,37.0,99.0,6.0,3.87,38.0,96.0,6.0,4.0,41.0,83.0,6.0,3.24,40.0,85.0,6.0,3.95,41.0,78.0,6.0,3.67,42.0,74.0,6.0,4.08,39.0,5.0,6.15,44.0,5.0,4.99,49.0,5.0,3.55,49.0,5.0,3.6,45.0,5.0,4.6
Liberia,LBR,SSA,28,136,8,2.16,27.0,135.0,8.0,2.01,25.0,145.0,7.0,1.64,26.0,142.0,7.0,1.72,29.0,136.0,8.0,1.7,28.0,137.0,7.0,2.01,28.0,137.0,7.0,2.67,32.0,120.0,8.0,3.31,31.0,122.0,8.0,3.24,37.0,7.0,3.43,37.0,7.0,4.22,37.0,6.0,3.09,38.0,7.0,3.3,41.0,7.0,3.9
Libya,LBY,MENA,13,177,6,2.64,13.0,173.0,6.0,2.63,18.0,170.0,5.0,1.83,17.0,171.0,5.0,1.59,17.0,172.0,5.0,1.72,17.0,173.0,5.0,1.72,18.0,168.0,5.0,2.24,17.0,170.0,5.0,2.57,17.0,171.0,5.0,3.05,14.0,4.0,2.0,16.0,5.0,3.18,18.0,5.0,2.81,15.0,6.0,3.3,21.0,6.0,4.0
Lithuania,LTU,WE/EU,65,28,10,1.61,63.0,32.0,9.0,1.66,61.0,34.0,10.0,1.25,62.0,33.0,10.0,1.14,61.0,34.0,10.0,1.18,60.0,35.0,9.0,1.34,60.0,35.0,9.0,2.32,59.0,38.0,9.0,2.3,59.0,38.0,9.0,2.21,59.0,9.0,1.36,59.0,8.0,1.92,58.0,8.0,3.85,57.0,8.0,3.8,54.0,7.0,5.3
Luxembourg,LUX,WE/EU,78,8,7,2.19,81.0,5.0,7.0,2.0,78.0,9.0,8.0,1.06,77.0,10.0,8.0,1.08,81.0,9.0,8.0,0.96,80.0,9.0,7.0,1.5,80.0,9.0,7.0,1.95,81.0,9.0,7.0,2.32,82.0,8.0,6.0,2.08,81.0,6.0,1.96,85.0,5.0,1.6,82.0,6.0,2.78,80.0,6.0,2.9,80.0,6.0,2.8
Madagascar,MDG,SSA,25,148,7,1.45,26.0,140.0,7.0,1.38,25.0,145.0,7.0,1.53,26.0,142.0,7.0,1.67,26.0,147.0,7.0,1.69,25.0,149.0,8.0,1.51,24.0,158.0,8.0,2.48,25.0,152.0,7.0,2.64,24.0,155.0,8.0,2.72,26.0,7.0,2.88,28.0,7.0,2.99,28.0,8.0,3.38,28.0,8.0,1.9,32.0,8.0,3.2
Malawi,MWI,SSA,34,109,9,1.54,34.0,107.0,9.0,1.42,34.0,115.0,9.0,1.42,34.0,110.0,9.0,1.71,35.0,110.0,9.0,1.69,30.0,129.0,9.0,1.16,31.0,123.0,9.0,1.78,32.0,120.0,9.0,2.61,31.0,122.0,9.0,1.85,31.0,9.0,2.11,31.0,8.0,2.41,33.0,8.0,3.03,37.0,8.0,1.7,37.0,8.0,1.5
Malaysia,MYS,AP,52,54,9,1.29,50.0,57.0,9.0,1.1,50.0,57.0,9.0,0.97,47.0,61.0,9.0,1.37,48.0,62.0,9.0,1.32,51.0,57.0,9.0,1.62,53.0,51.0,9.0,2.29,47.0,61.0,9.0,2.86,47.0,62.0,9.0,2.67,49.0,8.0,2.46,50.0,8.0,3.0,52.0,8.0,2.88,50.0,9.0,3.4,49.0,9.0,3.4
Maldives,MDV,AP,39,91,3,3.73,38.0,96.0,3.0,2.85,39.0,93.0,3.0,4.17,40.0,85.0,3.0,4.83,40.0,85.0,3.0,4.39,43.0,75.0,3.0,7.69,29.0,130.0,3.0,2.57,31.0,124.0,3.0,2.24,33.0,112.0,3.0,1.71,36.0,3.0,5.66,,,,,,,,,,,,
Mali,MLI,SSA,28,136,8,2.15,27.0,135.0,8.0,2.31,28.0,136.0,8.0,1.49,28.0,137.0,8.0,1.63,29.0,136.0,8.0,1.46,30.0,129.0,8.0,1.5,29.0,130.0,8.0,2.62,32.0,120.0,7.0,1.38,31.0,122.0,7.0,2.08,32.0,6.0,1.75,35.0,6.0,1.89,32.0,6.0,3.37,28.0,6.0,3.3,34.0,6.0,4.0
Malta,MLT,WE/EU,49,60,6,3.25,46.0,65.0,6.0,3.43,51.0,55.0,7.0,2.42,51.0,54.0,7.0,2.52,54.0,49.0,7.0,1.73,53.0,52.0,6.0,1.42,54.0,50.0,6.0,1.55,54.0,51.0,5.0,1.39,56.0,46.0,5.0,1.18,55.0,5.0,1.39,60.0,4.0,1.32,55.0,5.0,2.63,56.0,5.0,2.4,57.0,4.0,2.4
Mauritania,MRT,SSA,30,130,6,2.36,30.0,130.0,6.0,2.29,30.0,130.0,6.0,1.65,30.0,130.0,6.0,1.68,28.0,140.0,7.0,1.85,29.0,134.0,6.0,1.6,28.0,137.0,6.0,2.73,27.0,144.0,6.0,2.95,28.0,143.0,6.0,2.41,27.0,5.0,3.62,31.0,5.0,5.07,30.0,5.0,4.23,30.0,5.0,4.1,31.0,5.0,3.5
Mauritius,MUS,SSA,48,61,7,1.51,51.0,56.0,7.0,2.53,51.0,55.0,6.0,2.04,50.0,57.0,6.0,1.78,54.0,49.0,6.0,1.6,53.0,52.0,6.0,1.54,52.0,56.0,6.0,3.12,51.0,56.0,5.0,3.83,50.0,54.0,5.0,4.41,54.0,4.0,2.14,53.0,4.0,1.49,54.0,4.0,2.39,52.0,5.0,1.1,57.0,5.0,3.5
Mexico,MEX,AME,27,141,8,1.49,26.0,140.0,8.0,1.66,31.0,126.0,9.0,1.56,31.0,126.0,9.0,1.62,31.0,124.0,9.0,1.43,31.0,124.0,9.0,1.38,29.0,130.0,9.0,1.73,28.0,138.0,9.0,1.83,29.0,135.0,9.0,1.69,30.0,8.0,1.56,31.0,8.0,3.02,35.0,8.0,1.66,34.0,9.0,1.8,34.0,9.0,1.7
Moldova,MDA,ECA,42,80,7,1.76,43.0,76.0,7.0,2.25,42.0,76.0,7.0,2.1,39.0,91.0,8.0,1.65,36.0,105.0,7.0,1.34,34.0,115.0,9.0,1.24,32.0,120.0,9.0,2.4,33.0,117.0,9.0,2.13,31.0,122.0,9.0,1.54,30.0,9.0,2.18,33.0,8.0,2.88,35.0,8.0,2.7,35.0,8.0,2.8,36.0,8.0,2.6
Mongolia,MNG,AP,31,124,8,1.02,33.0,114.0,8.0,1.38,33.0,121.0,7.0,1.05,33.0,116.0,8.0,0.82,35.0,110.0,8.0,0.57,35.0,111.0,9.0,0.71,35.0,106.0,9.0,1.89,37.0,93.0,9.0,1.94,36.0,103.0,9.0,1.4,38.0,9.0,1.7,39.0,8.0,1.76,39.0,7.0,2.13,38.0,7.0,2.2,36.0,7.0,2.6
Montenegro,MNE,ECA,46,65,5,2.95,46.0,65.0,5.0,3.03,46.0,63.0,5.0,2.55,45.0,65.0,5.0,1.93,46.0,64.0,5.0,2.13,45.0,67.0,5.0,3.25,45.0,66.0,5.0,4.84,45.0,67.0,5.0,4.43,46.0,64.0,5.0,2.45,45.0,4.0,2.89,44.0,4.0,4.87,42.0,4.0,4.25,44.0,4.0,2.2,41.0,4.0,4.5
Morocco,MAR,MENA,39,91,8,1.85,37.0,99.0,8.0,1.55,38.0,97.0,7.0,1.7,38.0,94.0,7.0,1.8,39.0,87.0,6.0,2.47,40.0,86.0,7.0,2.22,41.0,80.0,7.0,3.15,43.0,73.0,7.0,3.68,40.0,81.0,7.0,2.6,37.0,7.0,1.74,36.0,6.0,3.85,39.0,6.0,3.57,37.0,8.0,2.9,37.0,8.0,3.2
Mozambique,MOZ,SSA,21,161,9,1.8,25.0,146.0,8.0,2.39,25.0,145.0,8.0,1.91,26.0,142.0,8.0,1.89,26.0,147.0,8.0,1.99,25.0,149.0,9.0,1.6,26.0,146.0,9.0,2.98,23.0,158.0,8.0,2.64,25.0,153.0,8.0,2.87,27.0,8.0,2.57,31.0,7.0,1.97,31.0,7.0,1.89,30.0,7.0,2.0,31.0,7.0,1.6
Myanmar,MMR,AP,16,169,7,1.92,16.0,168.0,7.0,2.01,20.0,162.0,7.0,2.29,23.0,157.0,7.0,1.9,28.0,140.0,7.0,2.78,28.0,137.0,7.0,2.65,29.0,130.0,7.0,4.21,29.0,132.0,7.0,3.94,30.0,130.0,7.0,3.91,28.0,8.0,3.69,22.0,7.0,2.82,21.0,7.0,2.87,21.0,6.0,3.9,15.0,4.0,3.7
Namibia,NAM,SSA,46,65,9,2.02,49.0,59.0,8.0,1.61,49.0,59.0,6.0,2.84,49.0,59.0,7.0,2.48,49.0,58.0,7.0,2.61,51.0,57.0,7.0,1.88,52.0,56.0,7.0,3.13,53.0,52.0,6.0,3.72,51.0,53.0,6.0,3.22,52.0,5.0,2.03,53.0,5.0,2.75,49.0,5.0,4.0,48.0,6.0,3.4,48.0,6.0,3.5
Nepal,NPL,AP,34,109,6,0.92,34.0,107.0,6.0,0.94,35.0,108.0,6.0,0.74,34.0,110.0,6.0,0.93,33.0,117.0,6.0,0.54,33.0,117.0,6.0,1.35,34.0,113.0,6.0,1.76,31.0,124.0,6.0,1.85,31.0,122.0,6.0,2.0,29.0,6.0,2.33,27.0,5.0,2.73,29.0,5.0,2.2,31.0,5.0,1.4,27.0,5.0,2.4
Netherlands,NLD,WE/EU,78,8,8,2.4,78.0,9.0,8.0,2.34,79.0,8.0,8.0,2.1,80.0,8.0,8.0,2.01,82.0,8.0,8.0,1.36,82.0,8.0,8.0,1.44,82.0,8.0,8.0,2.25,82.0,8.0,8.0,2.3,82.0,8.0,8.0,2.23,83.0,7.0,2.32,84.0,7.0,1.98,83.0,7.0,1.97,83.0,7.0,2.0,84.0,7.0,2.0
New Zealand,NZL,AP,81,4,8,2.04,83.0,4.0,8.0,1.77,85.0,3.0,8.0,1.92,87.0,2.0,8.0,1.41,88.0,1.0,8.0,1.43,88.0,1.0,8.0,1.48,87.0,1.0,8.0,2.29,87.0,2.0,8.0,2.44,89.0,1.0,8.0,2.4,90.0,7.0,2.56,91.0,7.0,2.32,91.0,7.0,2.28,91.0,7.0,2.3,90.0,7.0,2.2
Nicaragua,NIC,AME,14,175,7,1.47,14.0,172.0,7.0,1.44,17.0,172.0,7.0,0.96,19.0,167.0,8.0,1.04,20.0,164.0,8.0,0.97,22.0,159.0,7.0,0.9,22.0,161.0,7.0,1.16,25.0,152.0,8.0,1.13,26.0,151.0,8.0,1.29,26.0,7.0,1.98,27.0,7.0,2.5,28.0,7.0,2.03,28.0,7.0,2.4,29.0,7.0,2.1
Niger,NER,SSA,31,124,7,1.95,34.0,107.0,7.0,2.03,32.0,125.0,7.0,1.5,32.0,123.0,7.0,1.5,31.0,124.0,7.0,1.35,32.0,123.0,7.0,1.2,32.0,120.0,7.0,1.72,34.0,114.0,6.0,2.98,33.0,112.0,6.0,3.27,35.0,5.0,3.25,34.0,5.0,4.16,35.0,5.0,3.99,34.0,5.0,3.7,33.0,5.0,3.1
Nigeria,NGA,SSA,26,142,10,1.47,26.0,140.0,10.0,1.45,25.0,145.0,8.0,1.64,24.0,150.0,8.0,1.6,24.0,154.0,8.0,1.57,25.0,149.0,8.0,1.45,26.0,146.0,8.0,1.87,27.0,144.0,9.0,2.03,27.0,148.0,9.0,1.97,28.0,9.0,1.98,26.0,8.0,2.24,27.0,8.0,2.82,25.0,9.0,3.1,27.0,9.0,2.7
North Macedonia,MKD,ECA,40,84,7,2.42,40.0,88.0,7.0,2.73,42.0,76.0,6.0,2.88,40.0,85.0,7.0,1.95,39.0,87.0,7.0,1.66,35.0,111.0,7.0,2.44,35.0,106.0,7.0,3.56,37.0,93.0,7.0,3.38,35.0,107.0,6.0,4.49,37.0,7.0,4.97,42.0,6.0,5.27,45.0,6.0,5.92,44.0,6.0,5.0,43.0,6.0,4.7
Norway,NOR,WE/EU,81,4,8,1.62,81.0,5.0,8.0,1.65,84.0,4.0,7.0,1.38,84.0,4.0,7.0,1.17,85.0,4.0,7.0,1.07,84.0,7.0,7.0,1.26,84.0,7.0,7.0,1.65,84.0,7.0,8.0,2.14,85.0,3.0,8.0,1.83,85.0,7.0,1.85,88.0,7.0,2.24,86.0,7.0,2.38,86.0,7.0,2.3,85.0,7.0,1.6
Oman,OMN,MENA,52,54,7,5.54,55.0,50.0,6.0,6.49,43.0,70.0,5.0,5.32,44.0,69.0,5.0,4.95,52.0,56.0,6.0,7.12,54.0,49.0,6.0,7.47,52.0,56.0,6.0,9.78,52.0,53.0,6.0,9.46,44.0,68.0,5.0,7.0,45.0,5.0,7.07,45.0,5.0,6.69,45.0,5.0,6.55,47.0,5.0,7.8,47.0,5.0,7.6
Pakistan,PAK,AP,28,136,8,1.73,27.0,135.0,8.0,1.99,29.0,133.0,8.0,2.09,27.0,140.0,7.0,1.92,28.0,140.0,8.0,1.87,31.0,124.0,8.0,1.8,32.0,120.0,8.0,2.46,33.0,117.0,8.0,2.06,32.0,117.0,8.0,2.11,32.0,7.0,2.12,30.0,7.0,3.12,29.0,7.0,3.24,28.0,8.0,3.0,27.0,8.0,2.3
Panama,PAN,AME,33,116,7,1.52,33.0,114.0,7.0,1.44,35.0,108.0,7.0,1.17,36.0,101.0,7.0,1.08,36.0,105.0,7.0,1.02,35.0,111.0,7.0,0.77,36.0,101.0,7.0,1.37,37.0,93.0,7.0,1.76,37.0,96.0,7.0,1.79,38.0,6.0,2.29,39.0,6.0,3.01,37.0,6.0,3.49,35.0,6.0,2.2,38.0,6.0,3.1
Papua New Guinea,PNG,AP,26,142,6,2.52,31.0,127.0,6.0,1.42,29.0,133.0,6.0,1.76,30.0,130.0,6.0,2.34,31.0,124.0,6.0,2.26,27.0,142.0,6.0,1.62,28.0,137.0,6.0,2.38,28.0,138.0,6.0,2.47,29.0,135.0,6.0,2.55,28.0,5.0,3.01,25.0,5.0,4.22,25.0,5.0,4.16,25.0,5.0,4.2,25.0,5.0,4.2
Paraguay,PRY,AME,24,150,7,2.29,24.0,149.0,7.0,2.33,28.0,136.0,6.0,1.84,28.0,137.0,7.0,1.7,30.0,128.0,7.0,1.4,28.0,137.0,6.0,2.19,28.0,137.0,6.0,2.84,29.0,132.0,6.0,3.05,29.0,135.0,6.0,3.1,30.0,6.0,2.68,27.0,5.0,2.85,24.0,5.0,2.95,24.0,5.0,3.1,25.0,5.0,2.9
Peru,PER,AME,30,130,8,2.19,31.0,127.0,8.0,2.26,33.0,121.0,8.0,1.4,36.0,101.0,8.0,1.43,36.0,105.0,8.0,1.84,38.0,94.0,8.0,1.98,36.0,101.0,8.0,3.07,35.0,105.0,8.0,3.1,37.0,96.0,8.0,3.35,35.0,7.0,2.04,36.0,7.0,3.05,38.0,7.0,2.63,38.0,7.0,2.5,38.0,7.0,2.1
Philippines,PHL,AP,32,120,9,2.14,33.0,114.0,9.0,1.81,34.0,115.0,9.0,1.21,33.0,116.0,9.0,0.93,33.0,117.0,9.0,0.94,34.0,115.0,9.0,0.92,34.0,113.0,9.0,1.59,36.0,99.0,9.0,1.55,34.0,111.0,9.0,1.9,35.0,9.0,1.58,35.0,8.0,1.92,38.0,8.0,1.84,36.0,9.0,2.5,34.0,9.0,2.2
