Year,Country,crime_index,foreign_investment,gepu,cpi_score,log_fdi,crime_index_std,cpi_score_std,gepu_std,foreign_investment_std,fdi_lag1,crime_lag1,cpi_lag1,fdi_change,crime_change,is_oecd,is_brics,development_level,time_trend,years_since_2012,crime_corruption_int,gepu_corruption_int,crime_corruption_ratio
2020,Canada,45.6,29123011879.2998,275.7078552246094,77.0,24.0947944848474,0.12754843619667566,0.867164248885795,0.7015826365884803,-0.4007607468068559,48942300762.2452,45.6,77.0,-40.49521288184778,0.0,1,0,Advanced,9,8,3511.2000000000003,21229.504852294922,1.982608695652174
2021,Canada,45.6,60189690111.8854,290.4154357910156,74.0,24.820766913994504,0.12754843619667566,0.7151571601829427,0.8182566953584591,-0.05047629657070598,29123011879.2998,45.6,77.0,106.67398812094473,0.0,1,0,Advanced,10,9,3374.4,21490.742248535156,1.7538461538461538
2022,Canada,45.6,50229920776.0187,213.8743133544922,74.0,24.63987671748273,0.12754843619667566,0.7151571601829427,0.21106210090034513,-0.16277514938573293,60189690111.8854,45.6,74.0,-16.547301236063326,0.0,1,0,Advanced,11,10,3374.4,15826.699188232422,1.7538461538461538
2023,Canada,45.6,42076242120.3715,232.5386199951172,76.0,24.462749098164984,0.12754843619667566,0.8164952193181776,0.3591245507408825,-0.2547098848573825,50229920776.0187,45.6,74.0,-16.23271255394856,0.0,1,0,Advanced,12,11,3465.6,17672.935119628906,1.9000000000000001
2024,Canada,45.6,58797136074.7493,247.07797241210932,75.0,24.79735898445306,0.12754843619667566,0.7658261897505602,0.4744640690741875,-0.06617768639006269,42076242120.3715,45.6,76.0,39.73951358712775,0.0,1,0,Advanced,13,12,3420.0,18530.8479309082,1.824
2025,Canada,45.6,,883.2801513671875,75.0,,0.12754843619667566,0.7658261897505602,5.521405004182104,,58797136074.7493,45.6,75.0,,0.0,1,0,Advanced,14,13,3420.0,66246.01135253906,1.824
2012,Chile,60.7,31801970676.0608,101.19027709960938,72.0,24.182794095757732,1.4838733563162536,0.613819101047708,-0.6828513343570165,-0.3705548264215717,,,,,,1,0,Emerging,1,0,4370.400000000001,7285.699951171875,2.167857142857143
2013,Chile,60.7,21120756844.018,103.51300048828124,71.0,23.77352213055992,1.4838733563162536,0.5631500714800906,-0.6644253557310484,-0.49098814365622473,31801970676.0608,60.7,72.0,-33.586641346358995,0.0,1,0,Emerging,2,1,4309.7,7349.423034667968,2.0931034482758624
2014,Chile,60.7,25527831848.9546,86.90003204345703,73.0,23.96303513897472,1.4838733563162536,0.6644881306153254,-0.7962147039466565,-0.441297287308587,21120756844.018,60.7,71.0,20.866084664881733,0.0,1,0,Emerging,3,2,4431.1,6343.702339172363,2.2481481481481485
2015,Chile,60.7,17766285629.0926,132.65533447265625,70.0,23.600568432452345,1.4838733563162536,0.5124810419124731,-0.43324155411015824,-0.5288106329663521,25527831848.9546,60.7,73.0,-30.40425158621469,0.0,1,0,Emerging,4,3,4249.0,9285.873413085938,2.0233333333333334
2016,Chile,60.7,11362832162.4891,156.04380798339844,66.0,23.15361352924509,1.4838733563162536,0.3098049236420035,-0.2477026668260475,-0.601011148269893,17766285629.0926,60.7,70.0,-36.042724969577975,0.0,1,0,Emerging,5,4,4006.2000000000003,10298.891326904297,1.785294117647059
2017,Chile,60.7,5237183518.21249,158.48245239257812,67.0,22.37904969425199,1.4838733563162536,0.36047395320962095,-0.2283570960279788,-0.6700793457654856,11362832162.4891,60.7,66.0,-53.90952323047205,0.0,1,0,Emerging,6,5,4066.9,10618.324310302734,1.8393939393939396
2018,Chile,60.7,7942631935.04913,96.98555755615234,67.0,22.79551053524466,1.4838733563162536,0.36047395320962095,-0.7162070377583718,-0.6395747483882264,5237183518.21249,60.7,67.0,51.658461221157296,0.0,1,0,Emerging,7,6,4066.9,6498.032356262207,1.8393939393939396
2019,Chile,60.7,13579090978.7595,142.33934020996094,67.0,23.33179701860082,1.4838733563162536,0.36047395320962095,-0.35641911214415245,-0.5760222841491058,7942631935.04913,60.7,67.0,70.96462595525654,0.0,1,0,Emerging,8,7,4066.9,9536.735794067383,1.8393939393939396
