Year,Country,crime_index,foreign_investment,gepu
2013,Chile,60.7,21120756844.018,103.51300048828124
2014,Chile,60.7,25527831848.9546,86.90003204345703
2015,Chile,60.7,17766285629.0926,132.65533447265625
2016,Chile,60.7,11362832162.4891,156.04380798339844
2017,Chile,60.7,5237183518.21249,158.48245239257812
2018,Chile,60.7,7942631935.04913,96.98555755615234
2019,Chile,60.7,13579090978.7595,142.33934020996094
2020,Chile,60.7,11447397288.6176,210.9532623291016
2021,Chile,60.7,15176902318.5544,208.0988922119141
2022,Chile,60.7,18771990469.19,271.124908447265
2023,Chile,60.7,18377361861.8,249.8270721435547
2024,Chile,60.7,12521388616.3117,147.71092224121094
2025,Chile,60.7,,380.56022953540105
2012,China,23.1,241213868161.42,120.4490894
2013,China,23.1,290928431467.003,130.1575789
2014,China,23.1,268097181064.335,103.5485547
2015,China,23.1,242489331627.398,98.03493372
2016,China,23.1,174749584584.05,127.4782714
2017,China,23.1,166083755721.648,306.037496
2018,China,23.1,235365050036.341,265.0796087
2019,China,23.1,187169822364.755,288.099468498562
2020,China,23.1,253095616058.58,250.321903500956
2021,China,23.1,344074977062.48,378.35705309334
2022,China,23.1,190203789092.51,319.071530807706
2023,China,23.1,51338076801.59,275.41359579382
2024,China,23.1,18556141172.84,356.97471648219
2025,China,23.1,,256.9
2012,France,55.8,32944663317.8722,289.39776611328125
2013,France,55.8,33461592993.8228,318.2390441894531
2014,France,55.8,5063648998.48312,221.41378784179688
2015,France,55.8,43133325471.3567,178.69871520996094
2016,France,55.8,35623357280.0881,241.42453002929688
2017,France,55.8,43733253503.8812,462.9656066894531
2018,France,55.8,77493098693.2377,221.1375732421875
2019,France,55.8,53499337503.7412,363.0477294921875
2020,France,55.8,19368829836.4654,254.26959228515625
2021,France,55.8,98012545019.163,276.37225341796875
2022,France,55.8,112295479269.655,313.7880859375
2023,France,55.8,18051596853.4685,296.3216552734375
2024,France,55.8,52052548617.7634,274.0296325683594
2025,France,55.8,,563.138916015625
2012,Germany,38.4,65443087632.2705,193.7616729736328
2013,Germany,38.4,67199694458.9368,198.8842010498047
2014,Germany,38.4,17356720097.6154,106.18580627441406
2015,Germany,38.4,62418993509.2489,201.27247619628903
2016,Germany,38.4,58132711370.7802,203.99563598632807
2017,Germany,38.4,108786501529.106,335.6415100097656
2018,Germany,38.4,162250938125.842,150.0355682373047
2019,Germany,38.4,75463438450.8916,168.0872344970703
2020,Germany,38.4,176781024357.228,131.50759887695312
2021,Germany,38.4,127609826748.268,210.23208618164065
